,sample,iou,intersection,union,gt_area,segmentation_area,gt_x_center,gt_y_center,segmentation_x_center,segmentation_y_center,x_distance,y_distance,euclidean_distance,x_size,y_size
23,0020.jpg,0.002168983931444041,2160,995858,2160,995858,442.8865740740741,550.75,506.48178856824967,503.52723279825034,-63.59521449417559,47.22276720174966,79.21073821617145,1024,1024
24,0551.jpg,0.0922869867371409,37714,408660,37714,408660,519.3905446253381,575.7030545685952,627.5643175255714,520.7971859247297,-108.1737729002333,54.905868643865574,121.31042640683722,1024,1024
25,0704.jpg,0.005954737796950315,6151,1032959,6151,1032959,477.0169078198667,516.7021622500406,514.5372846356922,514.5270470560787,-37.52037681582556,2.175115193961915,37.58337135633981,1024,1024
26,0334.jpg,0.014417213924164268,10439,724065,10439,724065,515.4443912252132,487.8272823067344,548.3644576108499,531.9449455504686,-32.92006638563669,-44.11766324373417,55.046334854577374,1024,1024
27,0182.jpg,0.005751674971766718,3779,657026,3779,657026,541.7959777718974,494.75654935168035,468.46920974208024,465.3478827321902,73.32676802981712,29.408666619490134,79.00433267887858,1024,1024
28,0535.jpg,0.1126621587405609,60514,537128,60514,537128,544.9406748851505,509.64656112635095,561.276857657765,595.7460977644063,-16.336182772614507,-86.09953663805533,87.63561534483625,1024,1024
29,0539.jpg,0.10238571850490598,62400,609460,62400,609460,534.1158493589744,539.9451602564103,579.2251550552949,479.06189413579233,-45.10930569632046,60.883266120617975,75.77348846343342,1024,1024
30,0208.jpg,0.0013131734860233012,1321,1005960,1321,1005960,640.6502649507948,456.88493565480695,502.2759195196628,523.7437502485188,138.37434543113204,-66.85881459371188,153.6800590915119,1024,1024
31,0612.jpg,0.005563835562355031,5637,1013150,5637,1013150,524.6748270356572,562.1250665247472,516.0687282238563,508.96431722844596,8.606098811800962,53.160749296301276,53.85285695766454,1024,1024
32,0467.jpg,0.0094513649138699,9453,1000173,9453,1000173,537.0082513487781,492.1315984343595,505.1939614446701,507.49827379863285,31.814289904108023,-15.366675364273362,35.33105933670254,1024,1024
33,0070.jpg,0.002606228302075844,2367,908209,2367,908209,531.6265314744402,540.2348964934516,505.25688690598747,505.3419301063962,26.369644568452713,34.892966387055424,43.736452279016724,1024,1024
34,0061.jpg,0.0009126009126009125,949,1039885,949,1039885,508.9768177028451,494.2528977871444,511.8807695081668,511.8949028017521,-2.9039518053216966,-17.64200501460772,17.879409302968458,1024,1024
35,0401.jpg,0.012696442744786781,8798,692950,8798,692950,538.8940668333712,397.7717663105251,552.5515462876109,536.9273136589942,-13.657479454239706,-139.1555473484691,139.82415064249454,1024,1024
36,0641.jpg,0.004976300091220822,5117,1028274,5117,1028274,490.38635919484074,495.671291772523,514.3542450747564,504.14490301223213,-23.967885879915627,-8.473611239709157,25.421676596841213,1024,1024
37,0082.jpg,0.0019658620494111866,1976,1005157,1976,1005157,556.123987854251,573.7034412955466,513.4864195344608,508.3631124292026,42.63756831979026,65.34032886634395,78.02128433053869,1024,1024
38,0507.jpg,0.006956565127360727,6971,1002075,6971,1002075,503.32047052072875,511.2897719122077,506.41681510864953,510.90190355013345,-3.0963445879207825,0.3878683620742436,3.1205434900742013,1024,1024
39,0057.jpg,0.0017365403464676503,1777,1023299,1777,1023299,554.2948790095667,438.1159257175014,514.6306465656666,509.58273583771705,39.66423244390012,-71.46681012021565,81.73589348702745,1024,1024
40,0515.jpg,0.10385220339835004,49586,477467,49586,477467,483.8956156979793,603.6254386318719,564.0406247971064,686.8850622137237,-80.1450090991271,-83.25962358185177,115.56551130199188,1024,1024
41,0699.jpg,0.007022997608437841,7130,1015236,7130,1015236,446.3741935483871,548.0942496493689,518.207483777171,516.239537408051,-71.83329022878388,31.854712241317884,78.57954108462243,1024,1024
42,0436.jpg,0.013898362095545983,5950,428108,5950,428108,545.3788235294118,529.0947899159664,538.0431269679614,679.293601147374,7.335696561450391,-150.1988112314076,150.3778419161869,1024,1024
43,0576.jpg,0.05151770015529647,31117,604006,31117,604006,389.60233955715523,421.3438956197577,531.385161736804,522.8441488991831,-141.78282217964875,-101.50025327942541,174.36934960311518,1024,1024
44,0564.jpg,0.06346184085903017,52062,820367,52062,820367,395.9221889285852,717.1119050363029,486.46451039595695,533.8446402646621,-90.54232146737178,183.26726477164084,204.41331246662872,1024,1024
45,0024.jpg,0.0023996116235522574,2422,1009330,2422,1009330,570.7972749793558,532.9128819157721,518.6537346556627,515.9335717753361,52.14354032369317,16.97931014043604,54.83836039064015,1024,1024
46,0679.jpg,0.004581860908637339,4656,1016181,4656,1016181,472.5435996563574,485.1943728522337,507.74105105291284,508.7373647017608,-35.19745139655544,-23.542991849527084,42.34540175792149,1024,1024
47,0135.jpg,0.0033057562135973273,2835,857595,2835,857595,521.5298059964726,551.0292768959436,499.7715868212851,501.60413481888304,21.75821917518755,49.425142077060514,54.00245152780674,1024,1024
48,0085.jpg,0.0019120624235535344,1990,1040761,1990,1040761,526.6723618090452,410.1060301507538,509.4093091497472,510.07780844977856,17.26305265929807,-99.97177829902478,101.45131563162234,1024,1024
49,0715.jpg,0.011206090194840531,11573,1032742,11573,1032742,507.18387626371725,486.8243324980558,515.5246373247143,514.0861270288223,-8.34076106099701,-27.26179453076645,28.50918687220615,1024,1024
50,0086.jpg,0.0014155081674321081,1415,999641,1415,999641,457.9314487632509,540.6946996466431,507.2549515275984,516.7138302650652,-49.323502764347495,23.980869381577918,54.844234165871036,1024,1024
51,0480.jpg,0.008553397682362787,8616,1007319,8616,1007319,511.5049907149489,466.3076833797586,509.5291938303556,515.292809924165,1.9757968845933078,-48.9851265444064,49.02495686791246,1024,1024
52,0671.jpg,0.004487930085222206,4630,1031656,4630,1031656,485.5110151187905,495.40539956803457,513.1874646199896,507.07458590848114,-27.676449501199045,-11.669186340446572,30.03590795765105,1024,1024
53,0112.jpg,0.003667010696636909,3084,841012,3084,841012,527.7094682230869,503.583009079118,506.2519940262446,464.7287291976809,21.457474196842327,38.85427988143715,44.38556368925831,1024,1024
54,0707.jpg,0.009567900939586796,10011,1046311,10011,1046311,433.2683048646489,519.0215762661073,511.8533409282708,510.6547823735008,-78.58503606362194,8.366793892606552,79.02917899840615,1024,1024
55,0545.jpg,0.10445385848408519,45615,436700,45615,436700,516.2309547298038,517.3657568782199,623.0528142889856,512.6630615983513,-106.8218595591818,4.702695279868635,106.92532451471382,1024,1024
56,0592.jpg,0.06848782449212608,36110,527247,36110,527247,497.9291332040986,562.9828856272501,539.7437576695553,504.4395397223692,-41.81462446545669,58.54334590488088,71.94293689394188,1024,1024
57,0155.jpg,0.003188506200145166,2605,816997,2605,816997,517.0364683301343,536.8821497120921,502.5074290358471,486.52480119266045,14.529039294287202,50.35734851943164,52.411406513491364,1024,1024
58,0560.jpg,0.08220944201450882,49545,602668,49545,602668,593.7217680896155,471.9770107982642,432.9537091732098,530.0680656679963,160.76805891640566,-58.09105486973209,170.941333280243,1024,1024
59,0118.jpg,0.00521487224729395,4918,943072,4918,943072,568.697234648231,482.8403822692151,497.7491506480947,536.1631201011163,70.94808400013625,-53.32273783190118,88.75215486499499,1024,1024
60,0407.jpg,0.0026275608813297255,2719,1034800,2719,1034800,511.1037146009562,540.7318867230599,512.3190201005025,515.4445912253576,-1.2153054995462753,25.287295497702303,25.3164823987327,1024,1024
61,0060.jpg,0.007522067036345125,2283,303507,2283,303507,585.646955759965,511.66141042487953,484.8123733554745,539.7945385114676,100.83458240449045,-28.1331280865881,104.68565281175997,1024,1024
62,0181.jpg,0.004863489676208614,4372,898943,4372,898943,496.20791399817017,526.5084629460201,513.8746594611672,513.6765278777409,-17.666745462997028,12.831935068279222,21.835119712308888,1024,1024
63,0368.jpg,0.023028690450258425,12792,555481,12792,555481,436.76712007504693,471.15368980612885,456.8258212252084,435.2899613128082,-20.058701150161482,35.86372849332065,41.092073606403815,1024,1024
64,0188.jpg,0.002528984690405514,2423,958092,2423,958092,510.03549319026,535.6694180767644,515.4455344580688,520.0461615377229,-5.410041267808765,15.62325653904145,16.533441607968236,1024,1024
65,0738.jpg,0.005766934115598397,5418,939494,5418,939494,553.3931339977852,546.1626061277224,482.4825927573779,506.1546268523269,70.91054124040727,40.007979275395485,81.41832265963218,1024,1024
66,0728.jpg,0.012417154934743343,12120,976069,12120,976069,496.2605610561056,533.2245049504951,528.1186647665278,514.2102617745262,-31.8581037104222,19.014243175968886,37.10094628953413,1024,1024
67,0051.jpg,0.0019632774180937717,2049,1043663,2049,1043663,417.0053684724256,507.44851146900925,510.48941277021413,510.62959595195,-93.48404429778856,-3.1810844829407756,93.53815177112759,1024,1024
68,0340.jpg,0.009097210280280163,8623,947873,8623,947873,500.4816189261278,543.378522555955,518.1137905605498,550.4437725307082,-17.63217163442198,-7.065249974753215,18.9950318175955,1024,1024
